PLT_CN,FPAG,STANDPLOT_CN
13062886010497,CHF2,13062886010497_2
13062886010497,CHF2,13062886010497_3
13062886010497,CHF2,13062886010497_4
13062886010497,CHF2,13062886010497_1
13194596010497,CFS2,13194596010497_1
13194596010497,CFS2,13194596010497_2
13194596010497,CFS2,13194596010497_3
13194596010497,CFS2,13194596010497_4
13194834010497,CFS4,13194834010497_1
13194834010497,CFS4,13194834010497_2
13194834010497,CFS4,13194834010497_3
13194834010497,CFS4,13194834010497_4
13195112010497,CES2,13195112010497_1
13195112010497,CES2,13195112010497_2
13195112010497,CES2,13195112010497_3
13195112010497,CES2,13195112010497_4
13195383010497,CES2,13195383010497_1
13195383010497,CES2,13195383010497_2
13195383010497,CES2,13195383010497_3
13195383010497,CES2,13195383010497_4
13196361010497,CES2,13196361010497_1
13196361010497,CES2,13196361010497_2
13196361010497,CES2,13196361010497_3
13196361010497,CES2,13196361010497_4
13196629010497,CAS3,13196629010497_1
13196629010497,CAS3,13196629010497_2
13196629010497,CAS3,13196629010497_3
13196629010497,CAS3,13196629010497_4
13196865010497,CES4,13196865010497_1
13196865010497,CES4,13196865010497_2
13196865010497,CES4,13196865010497_3
13196865010497,CES4,13196865010497_4
13197377010497,CES2,13197377010497_1
13197377010497,CES2,13197377010497_2
13197377010497,CES2,13197377010497_3
13197377010497,CES2,13197377010497_4
13198438010497,CH21,13198438010497_1
13198438010497,CH21,13198438010497_2
13198438010497,CH21,13198438010497_3
13198438010497,CH21,13198438010497_4
13198972010497,CFS2,13198972010497_1
13198972010497,CFS2,13198972010497_2
13198972010497,CFS2,13198972010497_3
13198972010497,CFS2,13198972010497_4
13199439010497,CH,13199439010497_4
13199439010497,CH,13199439010497_1
13199439010497,CH,13199439010497_2
13199439010497,CH,13199439010497_3
13199766010497,CF,13199766010497_1
13199766010497,CF,13199766010497_2
13199766010497,CF,13199766010497_3
13199766010497,CF,13199766010497_4
13199952010497,CCS2,13199952010497_1
13199952010497,CCS2,13199952010497_2
13199952010497,CCS2,13199952010497_3
13199952010497,CCS2,13199952010497_4
13204702010497,CMS2,13204702010497_4
13204702010497,CMS2,13204702010497_1
13204702010497,CMS2,13204702010497_2
13204702010497,CMS2,13204702010497_3
13205354010497,CFS2,13205354010497_1
13205354010497,CFS2,13205354010497_2
13205354010497,CFS2,13205354010497_3
13205354010497,CFS2,13205354010497_4
13206482010497,CEF3,13206482010497_1
13206482010497,CEF3,13206482010497_2
13206482010497,CEF3,13206482010497_3
13206482010497,CEF3,13206482010497_4
13230130010497,CHF1,13230130010497_1
13230130010497,CHF1,13230130010497_2
13230130010497,CHF1,13230130010497_3
13230130010497,CHF1,13230130010497_4
13240308010497,CDS6,13240308010497_1
13240308010497,CDS6,13240308010497_2
13240308010497,CDS6,13240308010497_3
13240308010497,CDS6,13240308010497_4
174763101020004,CHF2,174763101020004_1
174763101020004,CHF2,174763101020004_2
174763101020004,CHF2,174763101020004_3
174763101020004,CHF2,174763101020004_4
174763116020004,CHS1,174763116020004_1
174763116020004,CHS1,174763116020004_2
174763116020004,CHS1,174763116020004_3
174763116020004,CHS1,174763116020004_4
174763117020004,CHS1,174763117020004_1
174763117020004,CHS1,174763117020004_2
174763117020004,CHS1,174763117020004_3
174763117020004,CHS1,174763117020004_4
174763139020004,CHS1,174763139020004_1
174763139020004,CHS1,174763139020004_2
174763139020004,CHS1,174763139020004_3
174763139020004,CHS1,174763139020004_4
174763192020004,CFS1,174763192020004_1
174763192020004,CFS1,174763192020004_2
174763192020004,CFS1,174763192020004_3
174763192020004,CFS1,174763192020004_4
174763237020004,CES3,174763237020004_1
174763237020004,CES3,174763237020004_2
174763237020004,CES3,174763237020004_3
174763237020004,CES3,174763237020004_4
174763278020004,CMS2,174763278020004_1
174763278020004,CMS2,174763278020004_2
174763278020004,CMS2,174763278020004_3
174763278020004,CMS2,174763278020004_4
174763305020004,CMS3,174763305020004_1
174763305020004,CMS3,174763305020004_2
174763305020004,CMS3,174763305020004_3
174763305020004,CMS3,174763305020004_4
174763313020004,CHF1,174763313020004_1
174763313020004,CHF1,174763313020004_2
174763313020004,CHF1,174763313020004_3
174763313020004,CHF1,174763313020004_4
174763314020004,CFS3,174763314020004_1
174763314020004,CFS3,174763314020004_2
174763314020004,CFS3,174763314020004_3
174763314020004,CFS3,174763314020004_4
174763315020004,CFS2,174763315020004_1
174763315020004,CFS2,174763315020004_2
174763315020004,CFS2,174763315020004_3
174763315020004,CFS2,174763315020004_4
174763319020004,CMS2,174763319020004_1
174763319020004,CMS2,174763319020004_2
174763319020004,CMS2,174763319020004_3
174763319020004,CMS2,174763319020004_4
174763320020004,CHS6,174763320020004_1
174763320020004,CHS6,174763320020004_2
174763320020004,CHS6,174763320020004_3
174763320020004,CHS6,174763320020004_4
174763334020004,CHS1,174763334020004_1
174763334020004,CHS1,174763334020004_2
174763334020004,CHS1,174763334020004_3
174763334020004,CHS1,174763334020004_4
174763336020004,CES2,174763336020004_1
174763336020004,CES2,174763336020004_2
174763336020004,CES2,174763336020004_3
174763336020004,CES2,174763336020004_4
174763346020004,CWS2,174763346020004_1
174763346020004,CWS2,174763346020004_2
174763346020004,CWS2,174763346020004_3
174763346020004,CWS2,174763346020004_4
174763373020004,CAS3,174763373020004_1
174763373020004,CAS3,174763373020004_2
174763373020004,CAS3,174763373020004_3
174763373020004,CAS3,174763373020004_4
174763374020004,CWS3,174763374020004_2
174763374020004,CWS3,174763374020004_3
174763374020004,CWS3,174763374020004_4
174763374020004,CWS3,174763374020004_1
174763376020004,CEF2,174763376020004_1
174763376020004,CEF2,174763376020004_2
174763376020004,CEF2,174763376020004_3
174763376020004,CEF2,174763376020004_4
174763383020004,CMS3,174763383020004_1
174763383020004,CMS3,174763383020004_2
174763383020004,CMS3,174763383020004_3
174763383020004,CMS3,174763383020004_4
174763389020004,CFS5,174763389020004_1
174763389020004,CFS5,174763389020004_2
174763389020004,CFS5,174763389020004_3
174763389020004,CFS5,174763389020004_4
174763390020004,CFS2,174763390020004_1
174763390020004,CFS2,174763390020004_2
174763390020004,CFS2,174763390020004_3
174763390020004,CFS2,174763390020004_4
174763428020004,CFS2,174763428020004_1
174763428020004,CFS2,174763428020004_2
174763428020004,CFS2,174763428020004_3
174763428020004,CFS2,174763428020004_4
174763475020004,CCF2,174763475020004_1
174763475020004,CCF2,174763475020004_2
174763475020004,CCF2,174763475020004_3
174763475020004,CCF2,174763475020004_4
174763488020004,CFF1,174763488020004_1
174763488020004,CFF1,174763488020004_2
174763488020004,CFF1,174763488020004_3
174763488020004,CFF1,174763488020004_4
174763489020004,CFS2,174763489020004_1
174763489020004,CFS2,174763489020004_2
174763489020004,CFS2,174763489020004_3
174763489020004,CFS2,174763489020004_4
174763491020004,CDS6,174763491020004_1
174763491020004,CDS6,174763491020004_2
174763491020004,CDS6,174763491020004_3
174763491020004,CDS6,174763491020004_4
174763502020004,CEF2,174763502020004_1
174763502020004,CEF2,174763502020004_2
174763502020004,CEF2,174763502020004_3
174763502020004,CEF2,174763502020004_4
174763507020004,CDS7,174763507020004_1
174763507020004,CDS7,174763507020004_2
174763507020004,CDS7,174763507020004_3
174763507020004,CDS7,174763507020004_4
174763508020004,CFS2,174763508020004_1
174763508020004,CFS2,174763508020004_2
174763508020004,CFS2,174763508020004_3
174763508020004,CFS2,174763508020004_4
174763511020004,CAS3,174763511020004_1
174763511020004,CAS3,174763511020004_2
174763511020004,CAS3,174763511020004_3
174763511020004,CAS3,174763511020004_4
174763517020004,CWS2,174763517020004_1
174763517020004,CWS2,174763517020004_2
174763517020004,CWS2,174763517020004_3
174763517020004,CWS2,174763517020004_4
174763544020004,CFS2,174763544020004_1
174763544020004,CFS2,174763544020004_2
174763544020004,CFS2,174763544020004_3
174763544020004,CFS2,174763544020004_4
174763545020004,CFS2,174763545020004_1
174763545020004,CFS2,174763545020004_2
174763545020004,CFS2,174763545020004_3
174763545020004,CFS2,174763545020004_4
174763546020004,CFS2,174763546020004_1
174763546020004,CFS2,174763546020004_2
174763546020004,CFS2,174763546020004_3
174763546020004,CFS2,174763546020004_4
174763582020004,CDG1,174763582020004_1
174763582020004,CDG1,174763582020004_2
174763582020004,CDG1,174763582020004_3
174763582020004,CDG1,174763582020004_4
174763638020004,CFF1,174763638020004_1
174763638020004,CFF1,174763638020004_2
174763638020004,CFF1,174763638020004_3
174763638020004,CFF1,174763638020004_4
174763655020004,CES3,174763655020004_1
174763655020004,CES3,174763655020004_2
